Customer ID,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
6718-BDGHG,Q3,No,0.0,4.0,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0.0,126.44,522.54
4981-FLTMF,Q3,Yes,2.0,32.0,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0.0,1514.88,3818.23
3522-CDKHF,Q3,Yes,1.0,24.0,Offer C,Yes,16.1,No,Yes,Fiber Optic,12.0,No,No,Yes,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0.0,386.4,2617.4500000000003
8999-XXGNS,Q3,No,0.0,2.0,Offer E,Yes,13.17,No,Yes,Fiber Optic,25.20405058339695,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0.0,26.34,165.39
8443-WVPSS,Q3,No,0.0,21.0,None,No,22.905796402744297,No,Yes,Cable,8.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,2280.6734637493046,0.0,0.0,0.0,840.1
4615-PIVVU,Q3,No,1.0,11.0,None,Yes,29.54,No,No,None,0.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0.0,324.94,539.69
7401-RUBNK,Q3,Yes,2.0,55.0,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27.0,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90.0,2355.1,7319.799999999999
5701-GUXDC,Q3,No,0.0,3.0,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0.0,27.660000000000004,261.36
1723-HKXJQ,Q3,No,0.0,5.0,Offer E,No,0.0,No,Yes,DSL,26.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,28.45,131.05,0.0,0.0,0.0,131.05
0479-HMSWA,Q3,No,0.0,20.0,None,Yes,48.73,No,Yes,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0.0,6.288164665523156,974.6,2837.0
0027-KWYKW,Q3,Yes,4.0,5.0,None,Yes,45.76,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0.0,228.8,563.6
7750-EYXWZ,Q3,Yes,2.0,1.0,None,Yes,22.905796402744297,No,Yes,Cable,25.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,64.59322269608752,1929.35,0.0,0.0,189.54,2118.89
2014-MKGMH,Q3,No,0.0,4.0,None,Yes,48.35,Yes,Yes,Cable,24.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,0.0,193.4,539.6
3146-MSEGF,Q3,No,0.0,1.0,None,Yes,45.81,Yes,Yes,None,21.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0.0,45.81,131.51
7929-DMBCV,Q3,Yes,3.0,49.0,Offer B,Yes,22.905796402744297,Yes,Yes,Fiber Optic,14.0,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0.0,750.3808752086037,3044.4410773224554
3336-JORSO,Q3,Yes,1.0,43.0,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,25.197045782026446,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0.0,624.36,5312.259999999999
3580-REOAC,Q3,No,0.0,56.0,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12.0,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0.0,750.3808752086036,8527.449999999999
5614-DNZCE,Q3,Yes,7.0,20.0,None,Yes,22.905796402744297,Yes,Yes,Fiber Optic,10.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0.0,750.3808752086037,2005.85
1845-CSBRZ,Q3,No,0.0,2.0,None,Yes,22.905796402744297,Yes,Yes,Fiber Optic,19.0,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,64.59322269608751,161.5,0.0,0.0,750.3808752086037,256.44
4334-HOWRP,Q3,No,0.0,8.0,None,Yes,27.95,No,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,2280.6734637493046,0.0,0.0,750.3808752086037,387.9
4906-ZHGPK,Q3,No,0.0,1.0,None,Yes,43.99,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0.0,87.98,179.07999999999998
7207-RMRDB,Q3,Yes,1.0,33.0,None,Yes,27.78,Yes,Yes,Fiber Optic,8.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,2280.6734637493046,0.0,0.0,750.3808752086037,4022.29
1591-XWLGB,,No,0.0,30.0,None,Yes,45.88,Yes,Yes,Fiber Optic,19.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0.0,0.0,1376.4,4134.55
2424-WVHPL,Q3,No,0.0,20.0,None,Yes,44.44,Yes,Yes,Fiber Optic,13.0,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120.0,750.3808752086036,2851.6
4342-HFXWS,Q3,No,0.0,1.0,None,Yes,2.37,Yes,Yes,Fiber Optic,20.0,Yes,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0.0,109.02,4983.820000000001
1866-NXPSP,Q3,No,1.0,7.0,None,Yes,21.91,Yes,Yes,Cable,11.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,0.0,0.0,153.37,797.72
2135-DQWAQ,Q3,No,0.0,4.0,None,Yes,36.93,No,Yes,Fiber Optic,25.18518450471498,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,0.0,0.0,147.72,440.52
8207-VVMYB,Q3,No,0.0,55.0,None,Yes,37.38,Yes,Yes,Fiber Optic,7.0,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,0.0,100.0,750.3808752086037,7665.200000000001
7469-LKBCI,Q3,Yes,1.0,20.0,None,Yes,5.37,No,Yes,Fiber Optic,24.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0.0,0.0,107.4,1570.9
5016-ETTFF,Q3,No,0.0,9.0,None,Yes,48.71,Yes,Yes,Fiber Optic,25.175562713971743,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0.0,0.0,438.39,1356.99
9115-YQHGA,Q3,No,0.0,10.0,None,Yes,5.46,No,Yes,Fiber Optic,24.0,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,0.0,30.0,54.6,773.25
5792-JALQC,Q3,No,0.0,1.0,None,Yes,36.92,Yes,Yes,None,6.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,64.59322269608751,73.55,0.0,0.0,36.92,110.47
0570-BFQHT,Q3,No,0.0,3.0,None,Yes,41.9,Yes,Yes,Fiber Optic,11.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,0.0,0.0,125.7,330.75
8800-JOOCF,Q3,No,0.0,4.0,None,Yes,6.68,Yes,Yes,Cable,17.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0.0,0.0,26.72,386.8200000000001
8883-ANODQ,,No,0.0,35.0,None,Yes,20.83,Yes,Yes,Fiber Optic,19.0,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,0.0,6.288164665523156,750.3808752086037,3044.4410773224554
1023-BQXZE,Q3,No,0.0,2.0,Offer E,Yes,26.62,No,Yes,DSL,11.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,0.0,0.0,53.24,138.39
3722-WPXTK,Q3,No,0.0,8.0,None,Yes,22.905796402744297,No,Yes,Fiber Optic,25.175562713971743,Yes,No,No,Yes,Yes,No,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,0.0,0.0,92.56,924.91
7596-IIWYC,Q3,Yes,2.0,44.0,None,Yes,22.905796402744297,No,Yes,Cable,28.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0.0,0.0,0.0,1359.7
3115-CZMZD,Q3,Yes,0.0,62.0,None,Yes,7.11,Yes,Yes,Fiber Optic,16.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,0.0,0.0,440.82,6824.17
5590-YRFJT,Q3,No,1.0,33.0,None,Yes,33.19,Yes,Yes,Cable,15.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,0.0,0.0,1095.27,3751.77
4078-SAYYN,Q3,No,0.0,4.0,None,Yes,49.5,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,64.59322269608751,424.45,0.0,0.0,198.0,622.45
2884-GBPFB,Q3,Yes,1.0,27.0,None,Yes,10.6,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0.0,0.0,286.2,2180.15
0475-RIJEP,Q3,No,0.0,8.0,Offer E,Yes,40.45,Yes,Yes,Fiber Optic,29.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0.0,6.288164665523156,750.3808752086037,1143.0
8883-GRDWQ,Q3,No,0.0,8.0,Offer E,Yes,42.93,No,Yes,Fiber Optic,9.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0.0,0.0,343.44,3044.441077322455
2446-PLQVO,,No,0.0,14.0,None,Yes,22.905796402744297,No,Yes,Fiber Optic,24.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,0.0,0.0,158.34,1424.4399999999998
1657-DYMBM,Q3,No,0.0,12.0,None,No,0.0,No,Yes,DSL,10.0,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,2280.6734637493046,0.0,0.0,0.0,526.95
1342-JPNKI,,No,0.0,13.0,None,Yes,40.37,No,Yes,Fiber Optic,21.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,0.0,0.0,524.81,1465.16
1618-CFHME,Q3,No,0.0,1.0,None,Yes,3.96,No,Yes,Fiber Optic,27.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,0.0,0.0,750.3808752086037,1091.26
5130-IEKQT,Q3,Yes,1.0,17.0,None,Yes,22.905796402744297,Yes,Yes,Cable,16.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,0.0,0.0,479.06,2101.51
1090-ESELR,Q3,Yes,1.0,3.0,Offer E,Yes,3.29,No,Yes,Fiber Optic,9.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,224.05,0.0,0.0,9.87,3044.4410773224554
5286-YHCVC,,No,0.0,21.0,None,Yes,34.62,No,Yes,DSL,14.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1236.15,0.0,0.0,727.02,3044.4410773224554
7839-NUIAA,Q3,No,0.0,16.0,None,Yes,38.75,Yes,Yes,Fiber Optic,16.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,1529.2,0.0,0.0,620.0,2149.2
4163-KIUHY,Q3,No,0.0,46.0,None,Yes,6.13,No,Yes,Fiber Optic,30.0,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,64.59322269608752,2280.6734637493046,0.0,0.0,281.98,4706.18
2212-LYASK,Q3,Yes,1.0,1.0,Offer A,Yes,24.13,Yes,Yes,Fiber Optic,24.0,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.6,6127.6,0.0,6.288164665523156,1640.84,7768.44
9823-EALYC,Q3,Yes,1.0,7.0,Offer E,Yes,13.63,No,Yes,Fiber Optic,27.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,676.7,0.0,0.0,95.41,772.11
5889-JTMUL,Q3,Yes,1.0,15.0,None,Yes,45.25,No,Yes,Cable,22.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1345.55,0.0,0.0,678.75,2024.3
2165-VOEGB,Q3,No,0.0,16.0,None,Yes,19.18,Yes,Yes,Fiber Optic,22.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.6,1281.0,0.0,0.0,750.3808752086036,1587.88
9227-YBAXE,Q3,No,0.0,1.0,None,No,0.0,No,Yes,None,5.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.2,25.2,0.0,0.0,750.3808752086037,25.2
7126-RBHSD,Q3,No,0.0,1.0,None,Yes,20.06,No,Yes,None,24.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.2,2280.6734637493046,0.0,0.0,20.06,99.26
7853-OETYL,Q3,Yes,1.0,34.0,None,Yes,22.905796402744297,Yes,Yes,Fiber Optic,4.0,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,3217.55,0.0,0.0,97.92,3315.4700000000003
6242-MBHPK,,No,0.0,4.0,None,Yes,12.68,No,Yes,Fiber Optic,10.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,64.59322269608752,442.85,0.0,0.0,750.3808752086037,493.5700000000001
1282-IHQAC,Q3,No,0.0,2.0,None,Yes,19.27,Yes,Yes,Fiber Optic,18.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,170.85,0.0,0.0,750.3808752086037,209.39
6619-RPLQZ,Q3,No,0.0,9.0,None,Yes,30.8,No,Yes,Fiber Optic,18.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,84.4,732.5,0.0,0.0,277.2,1009.7
5982-FPVQN,Q3,No,0.0,5.0,None,Yes,42.33,No,Yes,Fiber Optic,9.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.55,349.65,0.0,0.0,750.3808752086037,561.3
5244-IRFIH,Q3,No,0.0,22.0,Offer D,Yes,40.18,Yes,Yes,Fiber Optic,8.0,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,64.59322269608751,2082.95,0.0,100.0,883.96,3066.91
2868-SNELZ,Q3,No,0.0,15.0,Offer D,Yes,22.905796402744297,Yes,Yes,Fiber Optic,19.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,1146.65,0.0,0.0,695.7,1842.35
3841-CONLJ,,No,0.0,1.0,None,Yes,11.34,Yes,Yes,None,20.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,64.59322269608751,74.7,0.0,0.0,11.34,86.04
7511-YMXVQ,Q3,No,0.0,1.0,None,No,0.0,No,Yes,None,26.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,25.8,25.8,0.0,20.0,0.0,45.8
2229-VWQJH,Q3,No,0.0,10.0,Offer D,Yes,41.37,Yes,Yes,Fiber Optic,14.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,898.35,0.0,0.0,413.7,1312.05
7801-KICAO,Q3,No,0.0,3.0,None,Yes,30.14,No,Yes,DSL,6.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45.0,127.1,0.0,6.288164665523157,90.42,227.52
0196-JTUQI,Q3,Yes,0.0,12.0,Offer D,Yes,6.97,No,Yes,Fiber Optic,19.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,950.2,0.0,0.0,83.64,1033.84
7124-UGSUR,Q3,No,0.0,2.0,None,Yes,6.51,No,Yes,Fiber Optic,11.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,165.4,0.0,0.0,13.02,178.42000000000002
7605-BDWDC,Q3,No,0.0,1.0,None,Yes,49.6,Yes,Yes,None,20.0,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,88.8,0.0,10.0,49.6,3044.441077322455
0014-BMAQU,Q3,Yes,0.0,13.0,Offer D,Yes,1.47,No,Yes,Fiber Optic,5.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.05,1169.35,0.0,0.0,19.11,1188.4599999999998
7248-VZQLC,Q3,No,0.0,23.0,Offer D,Yes,31.17,No,Yes,Fiber Optic,25.172300398750416,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,2293.6,0.0,0.0,716.9100000000001,3044.4410773224554
4316-XCSLJ,Q3,No,1.0,17.0,None,Yes,36.82,Yes,Yes,Fiber Optic,6.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,1463.45,0.0,0.0,625.94,2089.3900000000003
4713-LZDRV,Q3,No,0.0,1.0,None,Yes,40.93,No,Yes,DSL,2.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.05,770.6,0.0,0.0,695.81,1466.41
3780-YVMFA,Q3,No,0.0,42.0,None,Yes,9.53,Yes,Yes,Fiber Optic,17.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.65,3541.35,0.0,0.0,750.3808752086036,3941.61
4781-ZXYGU,Q3,No,0.0,1.0,None,Yes,22.905796402744297,No,Yes,None,16.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1,79.1,0.0,0.0,750.3808752086037,121.4
7572-KPVKK,Q3,No,0.0,1.0,Offer E,Yes,39.78,No,Yes,None,12.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,50.15,50.15,0.0,0.0,39.78,89.93
7398-LXGYX,Q3,No,0.0,1.0,Offer E,Yes,34.51,No,Yes,None,15.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,64.59322269608752,69.6,0.0,0.0,34.51,104.11
0799-DDIHE,Q3,No,0.0,41.0,None,Yes,27.95,Yes,Yes,Fiber Optic,25.16218308983287,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,113.2,4689.5,0.0,0.0,1145.95,5835.45
5081-NWSUP,,Yes,1.0,32.0,None,Yes,22.9057964027443,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.0,2642.05,49.57,0.0,191.68,2784.16
7594-LZNWR,Q3,Yes,1.0,32.0,None,Yes,22.9057964027443,Yes,Yes,Fiber Optic,10.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,85.3,2661.1,0.0,0.0,1587.2,4248.3
9122-UMROB,Q3,Yes,1.0,1.0,None,No,0.0,No,Yes,Cable,3.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,44.85,2572.95,12.07,0.0,750.3808752086037,2560.88
6557-BZXLQ,Q3,No,0.0,1.0,Offer E,Yes,15.28,No,Yes,None,14.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.1,45.1,0.0,0.0,15.28,3044.441077322455
4727-MCYZG,Q3,No,0.0,1.0,Offer E,No,0.0,No,Yes,None,26.0,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.3,43.3,0.0,0.0,0.0,43.3
0661-KBKPA,,No,0.0,38.0,None,Yes,26.1,No,Yes,DSL,27.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,57.15,2250.65,0.0,0.0,991.8,3242.4500000000003
1544-JJMYL,Q3,No,0.0,35.0,None,Yes,15.98,Yes,Yes,Fiber Optic,22.0,Yes,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,3653.35,0.0,0.0,559.3000000000001,4212.65
6178-KFNHS,Q3,No,0.0,1.0,Offer E,Yes,15.24,No,Yes,None,14.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.1,45.1,0.0,0.0,15.24,60.34
0480-BIXDE,Q3,Yes,1.0,30.0,None,Yes,4.65,No,Yes,DSL,29.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.4,1527.5,0.0,0.0,750.3808752086037,3044.4410773224554
6797-UCJHZ,Q3,No,0.0,5.0,Offer E,Yes,12.27,No,Yes,Fiber Optic,20.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,78.95,2280.673463749304,0.0,0.0,61.35,439.75
4791-QRGMF,Q3,No,0.0,1.0,None,Yes,22.9057964027443,Yes,Yes,None,6.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.55,93.55,0.0,0.0,30.17,123.72
6979-TNDEU,Q3,No,1.0,58.0,None,Yes,49.38,Yes,Yes,Fiber Optic,19.0,Yes,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,108.85,6287.25,0.0,0.0,2864.04,9151.29
1535-VTJOQ,Q3,No,0.0,16.0,None,Yes,17.51,Yes,Yes,Fiber Optic,7.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.75,1350.15,0.0,0.0,280.16,1630.3100000000002
6754-WKSHP,Q3,Yes,1.0,5.0,None,Yes,47.28,Yes,Yes,Fiber Optic,11.0,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81.0,371.65,40.64,10.0,236.4,577.41
